sensor,x_gt,y_gt,vx_gt,vy_gt,yaw_gt,yawdot_gt,px,py,vx,vy,yaw,yawdot,NIS
R,0.3600,0.6000,-4.8003,0.0017,-0.0003,-0.0138,0.2018,0.3860,0.0000,0.0000,0.0000,0.0000,0.0000
L,0.1200,0.6002,-4.8006,0.0050,-0.0010,-0.0207,0.2174,0.6310,0.1736,0.0000,0.0000,-0.0000,0.7367
R,-0.1200,0.6006,-4.8010,0.0100,-0.0021,-0.0276,-0.1187,0.6284,-4.5545,-0.0137,0.0030,0.0290,1.3624
L,-0.3601,0.6012,-4.8015,0.0166,-0.0035,-0.0345,-0.2964,0.5846,-4.7036,-0.8158,0.1717,1.1112,0.1003
R,-0.6002,0.6023,-4.8022,0.0249,-0.0052,-0.0414,-0.5564,0.5538,-5.8262,0.2192,-0.0376,-0.2328,1.4657
L,-0.8403,0.6038,-4.8030,0.0348,-0.0073,-0.0483,-0.8699,0.5223,-6.0750,-0.4024,0.0661,0.2328,0.2662
R,-1.0804,0.6058,-4.8038,0.0464,-0.0097,-0.0552,-1.0376,0.5921,-4.9970,0.4573,-0.0913,-0.2790,1.3788
L,-1.3206,0.6085,-4.8047,0.0597,-0.0124,-0.0621,-1.2692,0.6071,-4.9431,0.5298,-0.1068,-0.2925,0.2559
R,-1.5608,0.6118,-4.8057,0.0747,-0.0155,-0.0689,-1.4541,0.6271,-4.6133,0.6063,-0.1307,-0.2785,1.8792
L,-1.8011,0.6160,-4.8067,0.0912,-0.0190,-0.0758,-1.6399,0.6525,-4.4956,0.7449,-0.1642,-0.3535,1.7081
R,-2.0415,0.6210,-4.8078,0.1095,-0.0228,-0.0826,-1.8792,0.6481,-4.5884,0.5184,-0.1125,-0.1263,0.6361
L,-2.2818,0.6270,-4.8088,0.1294,-0.0269,-0.0895,-2.1397,0.6943,-4.6330,0.6105,-0.1310,-0.1657,1.6114
R,-2.5222,0.6340,-4.8099,0.1509,-0.0314,-0.0963,-2.4282,0.5722,-4.7803,-0.3894,0.0813,0.4631,5.9804
L,-2.7627,0.6421,-4.8109,0.1742,-0.0362,-0.1031,-2.6789,0.6124,-4.8079,-0.1520,0.0316,0.2666,3.3517
R,-3.0032,0.6514,-4.8118,0.1990,-0.0413,-0.1098,-2.9390,0.6503,-4.8214,0.0001,-0.0000,0.1574,7.0070
L,-3.2438,0.6620,-4.8127,0.2255,-0.0468,-0.1166,-3.1987,0.7022,-4.8390,0.2103,-0.0434,0.0385,2.4787
R,-3.4844,0.6740,-4.8134,0.2537,-0.0527,-0.1233,-3.4450,0.6668,-4.8483,-0.0210,0.0043,0.1364,0.5656
L,-3.7250,0.6874,-4.8140,0.2835,-0.0588,-0.1301,-3.7019,0.5969,-4.8623,-0.3660,0.0751,0.2639,2.5224
R,-3.9657,0.7024,-4.8144,0.3150,-0.0653,-0.1368,-3.9383,0.6594,-4.8806,-0.0727,0.0149,0.1244,2.2757
L,-4.2064,0.7190,-4.8147,0.3481,-0.0722,-0.1435,-4.2237,0.5951,-4.9326,-0.3607,0.0730,0.2149,3.8275
R,-4.4470,0.7372,-4.8146,0.3828,-0.0793,-0.1501,-4.4663,0.5934,-4.9346,-0.3437,0.0695,0.1908,0.2564
L,-4.6877,0.7573,-4.8143,0.4192,-0.0868,-0.1568,-4.7115,0.6585,-4.9322,-0.0960,0.0195,0.0957,3.0557
R,-4.9283,0.7792,-4.8136,0.4572,-0.0947,-0.1634,-4.9390,0.7335,-4.9213,0.1605,-0.0326,0.0091,5.8383
L,-5.1689,0.8030,-4.8126,0.4968,-0.1029,-0.1700,-5.2006,0.7327,-4.9443,0.1276,-0.0258,0.0181,0.4241
R,-5.4094,0.8289,-4.8112,0.5380,-0.1114,-0.1765,-5.4642,0.7104,-5.0048,0.0380,-0.0076,0.0420,1.1715
L,-5.6499,0.8568,-4.8094,0.5808,-0.1202,-0.1831,-5.6877,0.8092,-4.9539,0.3179,-0.0641,-0.0366,4.5065
R,-5.8902,0.8870,-4.8070,0.6252,-0.1293,-0.1896,-5.9233,0.9011,-4.8629,0.5307,-0.1087,-0.0922,6.9220
L,-6.1304,0.9194,-4.8042,0.6712,-0.1388,-0.1960,-6.1242,0.9200,-4.8082,0.5336,-0.1105,-0.0888,3.0954
R,-6.3704,0.9541,-4.8007,0.7187,-0.1486,-0.2025,-6.3718,0.9560,-4.8797,0.5868,-0.1197,-0.0943,4.5934
L,-6.6103,0.9913,-4.7966,0.7679,-0.1587,-0.2089,-6.6373,0.9556,-4.9131,0.5319,-0.1078,-0.0746,1.0295
R,-6.8499,1.0309,-4.7919,0.8185,-0.1692,-0.2153,-6.8783,0.9840,-4.9220,0.5562,-0.1125,-0.0757,0.9301
L,-7.0893,1.0731,-4.7864,0.8707,-0.1799,-0.2216,-7.1184,1.0740,-4.8979,0.7233,-0.1466,-0.1098,1.5758
R,-7.3284,1.1180,-4.7801,0.9244,-0.1910,-0.2279,-7.3693,1.0716,-4.9004,0.6569,-0.1333,-0.0890,1.7271
L,-7.5671,1.1656,-4.7730,0.9796,-0.2024,-0.2342,-7.6057,1.1184,-4.8838,0.7098,-0.1443,-0.0962,0.1608
R,-7.8054,1.2159,-4.7651,1.0362,-0.2141,-0.2404,-7.8248,1.1568,-4.8442,0.7396,-0.1515,-0.0990,3.8499
L,-8.0434,1.2692,-4.7561,1.0943,-0.2261,-0.2466,-8.0574,1.1913,-4.8288,0.7576,-0.1556,-0.0982,0.1668
R,-8.2809,1.3254,-4.7463,1.1538,-0.2385,-0.2528,-8.2917,1.2889,-4.8207,0.9105,-0.1867,-0.1253,4.6509
L,-8.5178,1.3845,-4.7353,1.2148,-0.2511,-0.2589,-8.5240,1.3273,-4.8056,0.9246,-0.1901,-0.1225,0.1753
R,-8.7542,1.4468,-4.7232,1.2770,-0.2641,-0.2650,-8.7386,1.3691,-4.6780,0.9306,-0.1964,-0.1232,5.1883
L,-8.9899,1.5122,-4.7100,1.3407,-0.2773,-0.2710,-8.9691,1.4613,-4.6583,1.0490,-0.2215,-0.1423,0.8986
R,-9.2249,1.5809,-4.6956,1.4056,-0.2909,-0.2770,-9.2024,1.4929,-4.7043,1.0469,-0.2190,-0.1323,4.9795
L,-9.4592,1.6528,-4.6799,1.4718,-0.3047,-0.2829,-9.4567,1.5184,-4.7286,1.0227,-0.2130,-0.1196,0.8093
R,-9.6927,1.7280,-4.6628,1.5393,-0.3189,-0.2888,-9.7034,1.5349,-4.7762,0.9856,-0.2035,-0.1040,3.2700
L,-9.9253,1.8067,-4.6444,1.6079,-0.3333,-0.2947,-9.9733,1.6552,-4.7999,1.1483,-0.2348,-0.1296,5.0724
R,-10.1569,1.8887,-4.6245,1.6778,-0.3480,-0.3005,-10.1978,1.7700,-4.7452,1.2894,-0.2653,-0.1536,6.3544
L,-10.3875,1.9744,-4.6031,1.7487,-0.3631,-0.3063,-10.3986,1.8638,-4.6795,1.3816,-0.2871,-0.1677,2.2104
R,-10.6169,2.0636,-4.5801,1.8207,-0.3784,-0.3120,-10.6536,1.9488,-4.7404,1.4593,-0.2986,-0.1699,2.0010
L,-10.8452,2.1564,-4.5555,1.8937,-0.3940,-0.3177,-10.8844,2.0115,-4.7232,1.4777,-0.3032,-0.1661,0.1502
R,-11.0722,2.2529,-4.5292,1.9678,-0.4099,-0.3233,-11.1114,2.1033,-4.7055,1.5523,-0.3187,-0.1730,1.4896
L,-11.2979,2.3531,-4.5012,2.0427,-0.4260,-0.3288,-11.2993,2.2472,-4.6091,1.7189,-0.3570,-0.2025,4.2808
R,-11.5221,2.4571,-4.4714,2.1185,-0.4425,-0.3344,-11.5388,2.3341,-4.6185,1.7681,-0.3656,-0.2006,0.2443
L,-11.7448,2.5649,-4.4397,2.1951,-0.4592,-0.3398,-11.7699,2.4756,-4.5845,1.9138,-0.3955,-0.2200,1.3125
R,-11.9658,2.6765,-4.4061,2.2725,-0.4762,-0.3452,-12.0223,2.5905,-4.6364,2.0096,-0.4090,-0.2209,2.6445
L,-12.1851,2.7920,-4.3706,2.3505,-0.4934,-0.3506,-12.2576,2.7277,-4.6067,2.1294,-0.4330,-0.2335,0.7267
R,-12.4026,2.9114,-4.3330,2.4292,-0.5110,-0.3559,-12.4944,2.8194,-4.5932,2.1508,-0.4379,-0.2270,1.0151
L,-12.6182,3.0348,-4.2934,2.5084,-0.5288,-0.3611,-12.7045,2.9842,-4.5216,2.3106,-0.4724,-0.2498,1.4170
R,-12.8317,3.1622,-4.2516,2.5881,-0.5468,-0.3663,-12.9284,3.1123,-4.4924,2.3899,-0.4889,-0.2535,0.4117
L,-13.0431,3.2935,-4.2078,2.6682,-0.5651,-0.3714,-13.1239,3.2914,-4.3985,2.5573,-0.5266,-0.2782,1.8470
R,-13.2522,3.4289,-4.1617,2.7487,-0.5837,-0.3765,-13.3156,3.4106,-4.3182,2.5962,-0.5413,-0.2797,4.4958
L,-13.4590,3.5683,-4.1133,2.8293,-0.6025,-0.3815,-13.4997,3.5572,-4.2323,2.6847,-0.5653,-0.2897,1.3812
R,-13.6633,3.7117,-4.0627,2.9102,-0.6216,-0.3865,-13.7266,3.7187,-4.2180,2.7977,-0.5857,-0.2946,3.9388
L,-13.8650,3.8591,-4.0097,2.9912,-0.6409,-0.3913,-13.9273,3.8404,-4.1722,2.8232,-0.5949,-0.2894,0.4711
R,-14.0640,4.0107,-3.9544,3.0721,-0.6605,-0.3962,-14.1198,4.0068,-4.0811,2.9216,-0.6213,-0.3022,2.2491
L,-14.2602,4.1662,-3.8967,3.1530,-0.6803,-0.4009,-14.3093,4.1692,-4.0113,3.0101,-0.6438,-0.3094,0.2440
R,-14.4535,4.3258,-3.8365,3.2337,-0.7003,-0.4056,-14.5286,4.3351,-3.9786,3.0943,-0.6610,-0.3114,5.3879
L,-14.6436,4.4894,-3.7739,3.3142,-0.7206,-0.4103,-14.7115,4.5336,-3.8896,3.2328,-0.6934,-0.3278,0.7561
R,-14.8306,4.6571,-3.7088,3.3942,-0.7411,-0.4148,-14.9052,4.6998,-3.8303,3.2998,-0.7111,-0.3294,0.1405
L,-15.0143,4.8287,-3.6412,3.4739,-0.7619,-0.4193,-15.0542,4.8756,-3.7120,3.3799,-0.7386,-0.3404,2.4487
R,-15.1945,5.0043,-3.5711,3.5529,-0.7828,-0.4238,-15.2283,5.0366,-3.6326,3.4215,-0.7555,-0.3413,0.7668
L,-15.3712,5.1838,-3.4984,3.6314,-0.8040,-0.4282,-15.4105,5.2411,-3.5617,3.5395,-0.7823,-0.3505,0.6494
R,-15.5441,5.3672,-3.4232,3.7090,-0.8254,-0.4325,-15.5651,5.4387,-3.4187,3.6198,-0.8140,-0.3676,2.6957
L,-15.7133,5.5545,-3.3455,3.7858,-0.8471,-0.4367,-15.7636,5.5718,-3.4179,3.5955,-0.8107,-0.3467,1.3538
R,-15.8785,5.7456,-3.2651,3.8616,-0.8689,-0.4409,-15.9269,5.7352,-3.3564,3.6242,-0.8237,-0.3424,2.1810
L,-16.0396,5.9405,-3.1822,3.9364,-0.8909,-0.4450,-16.0607,5.9269,-3.2425,3.6981,-0.8509,-0.3523,1.3955
R,-16.1965,6.1391,-3.0968,4.0100,-0.9132,-0.4490,-16.2181,6.1064,-3.1519,3.7328,-0.8696,-0.3555,0.9275
L,-16.3491,6.3413,-3.0088,4.0823,-0.9356,-0.4529,-16.3544,6.3435,-3.0333,3.8724,-0.9063,-0.3736,1.0728
R,-16.4972,6.5471,-2.9183,4.1532,-0.9583,-0.4568,-16.4881,6.5077,-2.9259,3.8648,-0.9228,-0.3742,5.9517
L,-16.6407,6.7564,-2.8252,4.2226,-0.9811,-0.4606,-16.6463,6.7032,-2.8733,3.9204,-0.9383,-0.3711,0.3167
R,-16.7795,6.9691,-2.7297,4.2904,-1.0042,-0.4644,-16.8000,6.9098,-2.8291,3.9959,-0.9547,-0.3674,0.8766
L,-16.9135,7.1852,-2.6317,4.3565,-1.0274,-0.4680,-16.9920,7.1448,-2.8190,4.1022,-0.9687,-0.3628,6.9481
R,-17.0425,7.4046,-2.5312,4.4208,-1.0508,-0.4716,-17.1098,7.3634,-2.6721,4.1579,-0.9996,-0.3787,1.9712
L,-17.1665,7.6271,-2.4284,4.4831,-1.0744,-0.4752,-17.2092,7.6256,-2.5165,4.2967,-1.0410,-0.4001,1.5009
R,-17.2852,7.8526,-2.3232,4.5434,-1.0981,-0.4786,-17.3418,7.8268,-2.4724,4.3317,-1.0521,-0.3892,1.7695
L,-17.3986,8.0812,-2.2157,4.6015,-1.1221,-0.4820,-17.4584,7.9928,-2.4056,4.2940,-1.0601,-0.3785,2.1741
R,-17.5066,8.3126,-2.1059,4.6574,-1.1461,-0.4853,-17.5630,8.2265,-2.2824,4.3623,-1.0887,-0.3892,2.4707
L,-17.6091,8.5467,-1.9939,4.7109,-1.1704,-0.4885,-17.7007,8.4541,-2.2334,4.4189,-1.1028,-0.3839,1.2851
R,-17.7059,8.7834,-1.8797,4.7620,-1.1948,-0.4916,-17.7758,8.6606,-2.0635,4.4152,-1.1336,-0.4002,4.0969
L,-17.7970,9.0227,-1.7635,4.8105,-1.2194,-0.4947,-17.8463,8.9375,-1.8999,4.5438,-1.1748,-0.4201,1.5355
R,-17.8822,9.2643,-1.6452,4.8564,-1.2442,-0.4977,-17.9165,9.1806,-1.7149,4.5789,-1.2124,-0.4425,3.9741
L,-17.9614,9.5081,-1.5250,4.8995,-1.2690,-0.5006,-17.9302,9.4861,-1.4613,4.7294,-1.2711,-0.4769,4.6555
R,-18.0346,9.7540,-1.4030,4.9397,-1.2941,-0.5034,-17.9914,9.7357,-1.3143,4.7742,-1.3022,-0.4856,1.2982
L,-18.1016,10.0018,-1.2791,4.9770,-1.3192,-0.5061,-18.0708,9.9684,-1.2285,4.7959,-1.3200,-0.4796,0.2765
R,-18.1624,10.2515,-1.1536,5.0113,-1.3445,-0.5088,-18.1504,10.1865,-1.1558,4.7887,-1.3340,-0.4708,6.8344
L,-18.2169,10.5027,-1.0264,5.0424,-1.3700,-0.5114,-18.1536,10.4548,-0.9446,4.8539,-1.3786,-0.4905,2.3846
R,-18.2650,10.7555,-0.8978,5.0703,-1.3956,-0.5139,-18.2365,10.6956,-0.9448,4.9094,-1.3807,-0.4597,3.3396
L,-18.3066,11.0095,-0.7677,5.0950,-1.4212,-0.5163,-18.2868,10.8936,-0.8646,4.8569,-1.3946,-0.4517,1.6399
R,-18.3417,11.2647,-0.6363,5.1163,-1.4471,-0.5186,-18.3275,11.1348,-0.7425,4.8628,-1.4193,-0.4561,0.6316
L,-18.3702,11.5209,-0.5038,5.1341,-1.4730,-0.5209,-18.3135,11.4852,-0.4994,5.0363,-1.4720,-0.4832,6.4659
R,-18.3920,11.7780,-0.3701,5.1485,-1.4990,-0.5231,-18.3504,11.7405,-0.4132,5.0613,-1.4893,-0.4745,0.5794
L,-18.4072,12.0356,-0.2355,5.1593,-1.5252,-0.5252,-18.3746,11.9892,-0.3062,5.0636,-1.5104,-0.4721,0.0344
